config,bench,threads,trial,txns,time_ns,throughput,aborts,verified
rstm-norec,ReadWriteN/m256,4,3,21392032,5000002981,4278403,9280338,1
rstm-cgl,ReadWriteN/m256,4,3,88243784,5000030305,17648649,0,1
zstm-ala,ReadWriteN/m256,8,3,15524340,5002497172,3103318,14964181,1
rstm-norec,ReadWriteN/m256,8,3,12482969,5000003969,2496591,11632065,1
rstm-cgl,ReadWriteN/m256,8,3,82640645,5000049148,16527966,0,1
zstm-ala,ReadWriteN/m256,16,3,11160876,5002574157,2231026,20265687,1
rstm-norec,ReadWriteN/m256,16,3,9965698,5000006373,1993137,17583897,1
rstm-cgl,ReadWriteN/m256,16,3,68895773,5000091582,13778902,0,1
zstm-ala,Disjoint/16-8-2,1,3,101149210,5002385667,20220194,0,1
rstm-norec,Disjoint/16-8-2,1,3,91777175,5000005231,18355415,0,1
rstm-cgl,Disjoint/16-8-2,1,3,85685313,5000004207,17137048,0,1
zstm-ala,Disjoint/16-8-2,2,3,83249929,5000709223,16647624,0,1
rstm-norec,Disjoint/16-8-2,2,3,73703680,5000003135,14740726,0,1
rstm-cgl,Disjoint/16-8-2,2,3,83792941,5000004395,16758573,0,1
zstm-ala,Disjoint/16-8-2,4,3,62764518,5000373620,12551965,0,1
rstm-norec,Disjoint/16-8-2,4,3,57994595,5000001396,11598915,0,1
rstm-cgl,Disjoint/16-8-2,4,3,81307290,5000025836,16261373,0,1
zstm-ala,Disjoint/16-8-2,8,3,29990791,5002768069,5994839,0,1
rstm-norec,Disjoint/16-8-2,8,3,42188367,5000002728,8437668,0,1
rstm-cgl,Disjoint/16-8-2,8,3,76632806,5000051896,15326402,0,1
zstm-ala,Disjoint/16-8-2,16,3,23589343,5000459712,4717434,0,1
rstm-norec,Disjoint/16-8-2,16,3,30486397,5000004345,6097274,0,1
rstm-cgl,Disjoint/16-8-2,16,3,59076690,5000051709,11815215,0,1
zstm-ala,Counter,1,4,532596087,5000630459,106505787,0,1
rstm-norec,Counter,1,4,316716297,5000001924,63343235,0,1
rstm-cgl,Counter,1,4,211616879,5000004866,42323334,0,1
zstm-ala,Counter,2,4,107877834,5001027330,21571134,17957762,1
rstm-norec,Counter,2,4,44291841,5000001574,8858365,1744666,1
rstm-cgl,Counter,2,4,84625525,5000004004,16925091,0,1
zstm-ala,Counter,4,4,60838272,5000100294,12167410,16313346,1
rstm-norec,Counter,4,4,27442051,5000001179,5488408,24761585,1
rstm-cgl,Counter,4,4,99559795,5000021537,19911873,0,1
zstm-ala,Counter,8,4,33518648,5001771088,6701355,20873109,1
rstm-norec,Counter,8,4,14344995,5000004169,2868996,30554922,1
rstm-cgl,Counter,8,4,67094592,5000029795,13418838,0,1
zstm-ala,Counter,16,4,22755041,5002652657,4548595,18677385,1
rstm-norec,Counter,16,4,10138600,5000013630,2027714,33609227,1
rstm-cgl,Counter,16,4,53062312,5000047186,10612362,0,1
zstm-ala,ReadNWrite1/m256,1,4,236019000,5000426325,47199775,0,1
rstm-norec,ReadNWrite1/m256,1,4,153064597,5000006423,30612880,0,1
rstm-cgl,ReadNWrite1/m256,1,4,122236911,5000002023,24447372,0,1
zstm-ala,ReadNWrite1/m256,2,4,64892220,5000239549,12977822,1440577,1
rstm-norec,ReadNWrite1/m256,2,4,37398781,5000003450,7479751,478559,1
rstm-cgl,ReadNWrite1/m256,2,4,113044354,5000020207,22608779,0,1
zstm-ala,ReadNWrite1/m256,4,4,61257853,5000397337,12250597,28211,1
rstm-norec,ReadNWrite1/m256,4,4,26371619,5000004621,5274318,1594169,1
rstm-cgl,ReadNWrite1/m256,4,4,104280440,5000052350,20855869,0,1
zstm-ala,ReadNWrite1/m256,8,4,41809543,5000167120,8361629,1396415,1
rstm-norec,ReadNWrite1/m256,8,4,15167424,5000003847,3033482,2319715,1
rstm-cgl,ReadNWrite1/m256,8,4,80988907,5000053494,16197608,0,1
zstm-ala,ReadNWrite1/m256,16,4,37022160,5002761702,7400344,1253576,1
rstm-norec,ReadNWrite1/m256,16,4,11928722,5000005368,2385741,3608527,1
rstm-cgl,ReadNWrite1/m256,16,4,50275567,5000064605,10054983,0,1
zstm-ala,ReadNWrite1/m4096,1,4,234969480,5000119832,46992769,0,1
rstm-norec,ReadNWrite1/m4096,1,4,147500872,5000001402,29500166,0,1
rstm-cgl,ReadNWrite1/m4096,1,4,121392229,5000000904,24278441,0,1
zstm-ala,ReadNWrite1/m4096,2,4,74687684,5000863144,14934958,116749,1
rstm-norec,ReadNWrite1/m4096,2,4,39480200,5000002023,7896036,30583,1
rstm-cgl,ReadNWrite1/m4096,2,4,105578700,5000016949,21115668,0,1
zstm-ala,ReadNWrite1/m4096,4,4,58664707,5002441631,11727214,47025,1
rstm-norec,ReadNWrite1/m4096,4,4,26179193,5000003697,5235834,94724,1
rstm-cgl,ReadNWrite1/m4096,4,4,88970230,5000033861,17793925,0,1
zstm-ala,ReadNWrite1/m4096,8,4,37106318,5000585881,7420394,308729,1
rstm-norec,ReadNWrite1/m4096,8,4,17882892,5000003367,3576575,180366,1
rstm-cgl,ReadNWrite1/m4096,8,4,74823459,5000045335,14964556,0,1
zstm-ala,ReadNWrite1/m4096,16,4,32761225,5000240266,6551930,475089,1
rstm-norec,ReadNWrite1/m4096,16,4,13747402,5000007396,2749476,305046,1
rstm-cgl,ReadNWrite1/m4096,16,4,64218663,5000060599,12843576,0,1
zstm-ala,ReadWriteN/m256,1,4,134307236,5000145263,26860666,0,1
rstm-norec,ReadWriteN/m256,1,4,113601930,5000001157,22720380,0,1
rstm-cgl,ReadWriteN/m256,1,4,109786516,5000000919,21957299,0,1
zstm-ala,ReadWriteN/m256,2,4,50605074,5002884993,10115178,4286569,1
rstm-norec,ReadWriteN/m256,2,4,29282857,5000001810,5856569,4235370,1
rstm-cgl,ReadWriteN/m256,2,4,99884070,5000013200,19976761,0,1
zstm-ala,ReadWriteN/m256,4,4,45390376,5000084844,9077921,3701463,1
rstm-norec,ReadWriteN/m256,4,4,19928759,5000000735,3985751,8639137,1
rstm-cgl,ReadWriteN/m256,4,4,89664018,5000026390,17932708,0,1
zstm-ala,ReadWriteN/m256,8,4,35248129,5001768203,7047133,3553352,1
rstm-norec,ReadWriteN/m256,8,4,12822695,5000006756,2564535,11844458,1
